test_index,arxiv_id,paper_id,title,rank,raw_line_number,taxonomy_signal_score,taxonomy_ranking_score,taxonomy_signal_bucket,outline_node_count,reference_count,outline_path,pdf_path,tex_source_dir,raw_sha256
1,2305.03803,2305.03803,A Survey of Trojans in Neural Models of Source Code: Taxonomy and Techniques,1,1611,8,12,high,29,41,outlines/001_2305.03803.outline.json,pdf/001_2305.03803.pdf,tex_src/001_2305.03803,5938812a35aabe85f8b2a08d0408d70cdab1627ceeb008b93d82e3f76a01eca5
2,2206.07579,2206.07579,"A Comprehensive Survey on Deep Clustering: Taxonomy, Challenges, and Future Directions",2,1326,8,11,high,68,336,outlines/002_2206.07579.outline.json,pdf/002_2206.07579.pdf,tex_src/002_2206.07579,5938812a35aabe85f8b2a08d0408d70cdab1627ceeb008b93d82e3f76a01eca5
3,2209.03245,2209.03245,The HoloLens in Medicine: A systematic Review and Taxonomy,3,1393,8,11,high,35,244,outlines/003_2209.03245.outline.json,pdf/003_2209.03245.pdf,tex_src/003_2209.03245,5938812a35aabe85f8b2a08d0408d70cdab1627ceeb008b93d82e3f76a01eca5
4,2302.04473,2302.04473,"A Comprehensive Survey on Multimodal Recommender Systems: Taxonomy, Evaluation, and Future Directions",4,1516,8,11,high,37,95,outlines/004_2302.04473.outline.json,pdf/004_2302.04473.pdf,tex_src/004_2302.04473,5938812a35aabe85f8b2a08d0408d70cdab1627ceeb008b93d82e3f76a01eca5
5,2309.01194,2309.01194,"A Survey on Service Route and Time Prediction in Instant Delivery: Taxonomy, Progress, and Prospects",5,1758,8,11,high,34,148,outlines/005_2309.01194.outline.json,pdf/005_2309.01194.pdf,tex_src/005_2309.01194,5938812a35aabe85f8b2a08d0408d70cdab1627ceeb008b93d82e3f76a01eca5
6,2502.08353,2502.08353,Trustworthy GNNs with LLMs: A Systematic Review and Taxonomy,6,2053,8,11,high,13,57,outlines/006_2502.08353.outline.json,pdf/006_2502.08353.pdf,tex_src/006_2502.08353,5938812a35aabe85f8b2a08d0408d70cdab1627ceeb008b93d82e3f76a01eca5
7,2503.14110,2503.14110,"A Comprehensive Survey on Cross-Domain Recommendation: Taxonomy, Progress, and Prospects",7,2131,8,11,high,29,111,outlines/007_2503.14110.outline.json,pdf/007_2503.14110.pdf,tex_src/007_2503.14110,5938812a35aabe85f8b2a08d0408d70cdab1627ceeb008b93d82e3f76a01eca5
8,2306.07303,2306.07303,A Comprehensive Survey on Applications of Transformers for Deep Learning Tasks,8,1661,8,10,high,51,298,outlines/008_2306.07303.outline.json,pdf/008_2306.07303.pdf,tex_src/008_2306.07303,5938812a35aabe85f8b2a08d0408d70cdab1627ceeb008b93d82e3f76a01eca5
9,2205.09904,2205.09904,Deep transfer learning for image classification: a survey,9,1301,8,10,high,46,178,outlines/009_2205.09904.outline.json,pdf/009_2205.09904.pdf,tex_src/009_2205.09904,5938812a35aabe85f8b2a08d0408d70cdab1627ceeb008b93d82e3f76a01eca5
10,2209.06399,2209.06399,"A Survey on Evolutionary Computation for Computer Vision and Image Analysis: Past, Present, and Future Trends",10,1399,8,10,high,53,367,outlines/010_2209.06399.outline.json,pdf/010_2209.06399.pdf,tex_src/010_2209.06399,5938812a35aabe85f8b2a08d0408d70cdab1627ceeb008b93d82e3f76a01eca5
11,1910.04656,1910.04656,Intelligent Traffic Monitoring Systems for Vehicle Classification: A Survey,11,697,8,10,high,20,159,outlines/011_1910.04656.outline.json,pdf/011_1910.04656.pdf,tex_src/011_1910.04656,5938812a35aabe85f8b2a08d0408d70cdab1627ceeb008b93d82e3f76a01eca5
12,2001.09957,2001.09957,Reinforcement Learning-based Application Autoscaling in the Cloud: A Survey,12,721,8,10,high,24,123,outlines/012_2001.09957.outline.json,pdf/012_2001.09957.pdf,tex_src/012_2001.09957,5938812a35aabe85f8b2a08d0408d70cdab1627ceeb008b93d82e3f76a01eca5
13,2010.11075,2010.11075,Neural Networks for Entity Matching: A Survey,13,834,8,10,high,56,120,outlines/013_2010.11075.outline.json,pdf/013_2010.11075.pdf,tex_src/013_2010.11075,5938812a35aabe85f8b2a08d0408d70cdab1627ceeb008b93d82e3f76a01eca5
14,2103.00111,2103.00111,Graph Self-Supervised Learning: A Survey,14,933,8,10,high,36,174,outlines/014_2103.00111.outline.json,pdf/014_2103.00111.pdf,tex_src/014_2103.00111,5938812a35aabe85f8b2a08d0408d70cdab1627ceeb008b93d82e3f76a01eca5
15,2105.00827,2105.00827,AMMU : A Survey of Transformer-based Biomedical Pretrained Language Models,15,977,8,10,high,64,218,outlines/015_2105.00827.outline.json,pdf/015_2105.00827.pdf,tex_src/015_2105.00827,5938812a35aabe85f8b2a08d0408d70cdab1627ceeb008b93d82e3f76a01eca5
16,2202.10284,2202.10284,A Review of Emerging Research Directions in Abstract Visual Reasoning,16,1203,8,10,high,50,277,outlines/016_2202.10284.outline.json,pdf/016_2202.10284.pdf,tex_src/016_2202.10284,5938812a35aabe85f8b2a08d0408d70cdab1627ceeb008b93d82e3f76a01eca5
17,2209.02681,2209.02681,"How important are activation functions in regression and classification? A survey, performance comparison, and future directions",17,1392,8,10,high,39,236,outlines/017_2209.02681.outline.json,pdf/017_2209.02681.pdf,tex_src/017_2209.02681,5938812a35aabe85f8b2a08d0408d70cdab1627ceeb008b93d82e3f76a01eca5
18,2503.18669,2503.18669,A Comprehensive Review on Hashtag Recommendation: From Traditional to Deep Learning and Beyond,18,2141,8,10,high,60,236,outlines/018_2503.18669.outline.json,pdf/018_2503.18669.pdf,tex_src/018_2503.18669,5938812a35aabe85f8b2a08d0408d70cdab1627ceeb008b93d82e3f76a01eca5
19,2503.18805,2503.18805,"Virtual Reality in Manufacturing Education: A Scoping Review Indicating State-of-the-Art, Benefits, and Challenges Across Domains, Levels, and Entities",19,2142,8,10,high,55,294,outlines/019_2503.18805.outline.json,pdf/019_2503.18805.pdf,tex_src/019_2503.18805,5938812a35aabe85f8b2a08d0408d70cdab1627ceeb008b93d82e3f76a01eca5
20,2206.03237,2206.03237,Blockchain for Business Process Enactment: A Taxonomy and Systematic Literature Review,20,1319,8,10,high,24,55,outlines/020_2206.03237.outline.json,pdf/020_2206.03237.pdf,tex_src/020_2206.03237,5938812a35aabe85f8b2a08d0408d70cdab1627ceeb008b93d82e3f76a01eca5
21,2212.09970,2212.09970,Data Augmentation on Graphs: A Technical Survey,21,1470,8,10,high,54,159,outlines/021_2212.09970.outline.json,pdf/021_2212.09970.pdf,tex_src/021_2212.09970,5938812a35aabe85f8b2a08d0408d70cdab1627ceeb008b93d82e3f76a01eca5
22,2212.12478,2212.12478,Image Classification with Small Datasets: Overview and Benchmark,22,1476,8,10,high,53,70,outlines/022_2212.12478.outline.json,pdf/022_2212.12478.pdf,tex_src/022_2212.12478,5938812a35aabe85f8b2a08d0408d70cdab1627ceeb008b93d82e3f76a01eca5
23,2304.04300,2304.04300,Class-Imbalanced Learning on Graphs: A Survey,23,1580,8,10,high,33,126,outlines/023_2304.04300.outline.json,pdf/023_2304.04300.pdf,tex_src/023_2304.04300,5938812a35aabe85f8b2a08d0408d70cdab1627ceeb008b93d82e3f76a01eca5
24,2307.16265,2307.16265,Recent Advances in Hierarchical Multi-label Text Classification: A Survey,24,1719,8,10,high,12,49,outlines/024_2307.16265.outline.json,pdf/024_2307.16265.pdf,tex_src/024_2307.16265,5938812a35aabe85f8b2a08d0408d70cdab1627ceeb008b93d82e3f76a01eca5
25,2402.16374,2402.16374,"Graph Learning under Distribution Shifts: A Comprehensive Survey on Domain Adaptation, Out-of-distribution, and Continual Learning",25,1987,8,10,high,35,283,outlines/025_2402.16374.outline.json,pdf/025_2402.16374.pdf,tex_src/025_2402.16374,5938812a35aabe85f8b2a08d0408d70cdab1627ceeb008b93d82e3f76a01eca5
26,2503.06705,2503.06705,"A Survey on the Landscape of Self-adaptive Cloud Design and Operations Patterns: Goals, Strategies, Tooling, Evaluation and Dataset Perspectives",26,2110,8,10,high,29,150,outlines/026_2503.06705.outline.json,pdf/026_2503.06705.pdf,tex_src/026_2503.06705,5938812a35aabe85f8b2a08d0408d70cdab1627ceeb008b93d82e3f76a01eca5
27,2002.11059,2002.11059,NFV Platform Design: A Survey,27,727,8,10,high,45,190,outlines/027_2002.11059.outline.json,pdf/027_2002.11059.pdf,tex_src/027_2002.11059,5938812a35aabe85f8b2a08d0408d70cdab1627ceeb008b93d82e3f76a01eca5
28,2010.06850,2010.06850,A Review of Cyber-Ranges and Test-Beds: Current and Future Trends,28,828,8,10,high,55,191,outlines/028_2010.06850.outline.json,pdf/028_2010.06850.pdf,tex_src/028_2010.06850,5938812a35aabe85f8b2a08d0408d70cdab1627ceeb008b93d82e3f76a01eca5
29,2012.09830,2012.09830,Autotelic Agents with Intrinsically Motivated Goal-Conditioned Reinforcement Learning: a Short Survey,29,888,8,10,high,34,296,outlines/029_2012.09830.outline.json,pdf/029_2012.09830.pdf,tex_src/029_2012.09830,5938812a35aabe85f8b2a08d0408d70cdab1627ceeb008b93d82e3f76a01eca5
30,2101.08091,2101.08091,A survey of joint intent detection and slot-filling models in natural language understanding,30,903,8,10,high,87,169,outlines/030_2101.08091.outline.json,pdf/030_2101.08091.pdf,tex_src/030_2101.08091,5938812a35aabe85f8b2a08d0408d70cdab1627ceeb008b93d82e3f76a01eca5
31,2103.09340,2103.09340,Technical Debt in the Peer-Review Documentation of R Packages: a rOpenSci Case Study,31,946,8,10,high,17,66,outlines/031_2103.09340.outline.json,pdf/031_2103.09340.pdf,tex_src/031_2103.09340,5938812a35aabe85f8b2a08d0408d70cdab1627ceeb008b93d82e3f76a01eca5
32,2103.13136,2103.13136,Representing Numbers in NLP: a Survey and a Vision,32,950,8,10,high,15,79,outlines/032_2103.13136.outline.json,pdf/032_2103.13136.pdf,tex_src/032_2103.13136,5938812a35aabe85f8b2a08d0408d70cdab1627ceeb008b93d82e3f76a01eca5
33,2106.04554,2106.04554,A Survey of Transformers,33,1014,8,10,high,62,173,outlines/033_2106.04554.outline.json,pdf/033_2106.04554.pdf,tex_src/033_2106.04554,5938812a35aabe85f8b2a08d0408d70cdab1627ceeb008b93d82e3f76a01eca5
34,2106.12113,2106.12113,Conflict Avoidance in Social Navigation -- a Survey,34,1019,8,10,high,22,217,outlines/034_2106.12113.outline.json,pdf/034_2106.12113.pdf,tex_src/034_2106.12113,5938812a35aabe85f8b2a08d0408d70cdab1627ceeb008b93d82e3f76a01eca5
35,2107.00272,2107.00272,A Survey on Graph-Based Deep Learning for Computational Histopathology,35,1025,8,10,high,47,181,outlines/035_2107.00272.outline.json,pdf/035_2107.00272.pdf,tex_src/035_2107.00272,5938812a35aabe85f8b2a08d0408d70cdab1627ceeb008b93d82e3f76a01eca5
36,2202.07125,2202.07125,Transformers in Time Series: A Survey,36,1184,8,10,high,31,131,outlines/036_2202.07125.outline.json,pdf/036_2202.07125.pdf,tex_src/036_2202.07125,5938812a35aabe85f8b2a08d0408d70cdab1627ceeb008b93d82e3f76a01eca5
37,2204.11190,2204.11190,"Knowledge-aware Document Summarization: A Survey of Knowledge, Embedding Methods and Architectures",37,1277,8,10,high,18,81,outlines/037_2204.11190.outline.json,pdf/037_2204.11190.pdf,tex_src/037_2204.11190,5938812a35aabe85f8b2a08d0408d70cdab1627ceeb008b93d82e3f76a01eca5
38,2205.07417,2205.07417,Transformers in 3D Point Clouds: A Survey,38,1297,8,10,high,38,168,outlines/038_2205.07417.outline.json,pdf/038_2205.07417.pdf,tex_src/038_2205.07417,5938812a35aabe85f8b2a08d0408d70cdab1627ceeb008b93d82e3f76a01eca5
39,2210.00443,2210.00443,ReAct: A Review Comment Dataset for Actionability (and more),39,1416,8,10,high,15,40,outlines/039_2210.00443.outline.json,pdf/039_2210.00443.pdf,tex_src/039_2210.00443,5938812a35aabe85f8b2a08d0408d70cdab1627ceeb008b93d82e3f76a01eca5
40,2301.06517,2301.06517,The Landscape of User-centered Misinformation Interventions -- A Systematic Literature Review,40,1495,8,10,high,18,218,outlines/040_2301.06517.outline.json,pdf/040_2301.06517.pdf,tex_src/040_2301.06517,5938812a35aabe85f8b2a08d0408d70cdab1627ceeb008b93d82e3f76a01eca5
41,2302.01018,2302.01018,"Graph Neural Networks for temporal graphs: State of the art, open challenges, and opportunities",41,1508,8,10,high,24,136,outlines/041_2302.01018.outline.json,pdf/041_2302.01018.pdf,tex_src/041_2302.01018,5938812a35aabe85f8b2a08d0408d70cdab1627ceeb008b93d82e3f76a01eca5
42,2304.01829,2304.01829,A Survey on Vertical Federated Learning: From a Layered Perspective,42,1574,8,10,high,57,319,outlines/042_2304.01829.outline.json,pdf/042_2304.01829.pdf,tex_src/042_2304.01829,5938812a35aabe85f8b2a08d0408d70cdab1627ceeb008b93d82e3f76a01eca5
43,2304.08130,2304.08130,A Survey on Few-Shot Class-Incremental Learning,43,1586,8,10,high,49,197,outlines/043_2304.08130.outline.json,pdf/043_2304.08130.pdf,tex_src/043_2304.08130,5938812a35aabe85f8b2a08d0408d70cdab1627ceeb008b93d82e3f76a01eca5
44,2304.11949,2304.11949,Geometric Relational Embeddings: A Survey,44,1596,8,10,high,13,99,outlines/044_2304.11949.outline.json,pdf/044_2304.11949.pdf,tex_src/044_2304.11949,5938812a35aabe85f8b2a08d0408d70cdab1627ceeb008b93d82e3f76a01eca5
45,2304.13267,2304.13267,Bayesian Federated Learning: A Survey,45,1598,8,10,high,21,76,outlines/045_2304.13267.outline.json,pdf/045_2304.13267.pdf,tex_src/045_2304.13267,5938812a35aabe85f8b2a08d0408d70cdab1627ceeb008b93d82e3f76a01eca5
46,2305.11881,2305.11881,Self-Supervised Learning for Point Clouds Data: A Survey,46,1631,8,10,high,44,226,outlines/046_2305.11881.outline.json,pdf/046_2305.11881.pdf,tex_src/046_2305.11881,5938812a35aabe85f8b2a08d0408d70cdab1627ceeb008b93d82e3f76a01eca5
47,2307.03929,2307.03929,Fairness-Aware Graph Neural Networks: A Survey,47,1693,8,10,high,26,134,outlines/047_2307.03929.outline.json,pdf/047_2307.03929.pdf,tex_src/047_2307.03929,5938812a35aabe85f8b2a08d0408d70cdab1627ceeb008b93d82e3f76a01eca5
48,2308.04522,2308.04522,"Deep Learning for Steganalysis of Diverse Data Types: A review of methods, taxonomy, challenges and future directions",48,1730,8,10,high,46,356,outlines/048_2308.04522.outline.json,pdf/048_2308.04522.pdf,tex_src/048_2308.04522,5938812a35aabe85f8b2a08d0408d70cdab1627ceeb008b93d82e3f76a01eca5
49,2308.14016,2308.14016,MITRE ATT&CK: State of the Art and Way Forward,49,1748,8,10,high,72,91,outlines/049_2308.14016.outline.json,pdf/049_2308.14016.pdf,tex_src/049_2308.14016,5938812a35aabe85f8b2a08d0408d70cdab1627ceeb008b93d82e3f76a01eca5
50,2309.06055,2309.06055,Backdoor Attacks and Countermeasures in Natural Language Processing Models: A Comprehensive Security Review,50,1766,8,10,high,61,235,outlines/050_2309.06055.outline.json,pdf/050_2309.06055.pdf,tex_src/050_2309.06055,5938812a35aabe85f8b2a08d0408d70cdab1627ceeb008b93d82e3f76a01eca5
51,2401.03717,2401.03717,Universal Time-Series Representation Learning: A Survey,51,1906,8,10,high,74,294,outlines/051_2401.03717.outline.json,pdf/051_2401.03717.pdf,tex_src/051_2401.03717,5938812a35aabe85f8b2a08d0408d70cdab1627ceeb008b93d82e3f76a01eca5
52,2402.00896,2402.00896,Privacy and Security Implications of Cloud-Based AI Services : A Survey,52,1943,8,10,high,25,82,outlines/052_2402.00896.outline.json,pdf/052_2402.00896.pdf,tex_src/052_2402.00896,5938812a35aabe85f8b2a08d0408d70cdab1627ceeb008b93d82e3f76a01eca5
53,2402.01801,2402.01801,Large Language Models for Time Series: A Survey,53,1951,8,10,high,17,117,outlines/053_2402.01801.outline.json,pdf/053_2402.01801.pdf,tex_src/053_2402.01801,5938812a35aabe85f8b2a08d0408d70cdab1627ceeb008b93d82e3f76a01eca5
54,2412.11939,2412.11939,SEAGraph: Unveiling the Whole Story of Paper Review Comments,54,2006,8,10,high,16,45,outlines/054_2412.11939.outline.json,pdf/054_2412.11939.pdf,tex_src/054_2412.11939,5938812a35aabe85f8b2a08d0408d70cdab1627ceeb008b93d82e3f76a01eca5
55,2502.08869,2502.08869,Harnessing Vision Models for Time Series Analysis: A Survey,55,2056,8,10,high,19,80,outlines/055_2502.08869.outline.json,pdf/055_2502.08869.pdf,tex_src/055_2502.08869,5938812a35aabe85f8b2a08d0408d70cdab1627ceeb008b93d82e3f76a01eca5
56,2504.01491,2504.01491,How to Define the Quality of Data? A Feature-Based Literature Survey,56,2157,8,10,high,25,63,outlines/056_2504.01491.outline.json,pdf/056_2504.01491.pdf,tex_src/056_2504.01491,5938812a35aabe85f8b2a08d0408d70cdab1627ceeb008b93d82e3f76a01eca5
57,1906.01529,1906.01529,Generative Adversarial Networks in Computer Vision: A Survey and Taxonomy,57,685,8,10,high,44,174,outlines/057_1906.01529.outline.json,pdf/057_1906.01529.pdf,tex_src/057_1906.01529,5938812a35aabe85f8b2a08d0408d70cdab1627ceeb008b93d82e3f76a01eca5
58,2005.10460,2005.10460,"Application Management in Fog Computing Environments: A Taxonomy, Review and Future Directions",58,774,8,10,high,92,209,outlines/058_2005.10460.outline.json,pdf/058_2005.10460.pdf,tex_src/058_2005.10460,5938812a35aabe85f8b2a08d0408d70cdab1627ceeb008b93d82e3f76a01eca5
59,2202.06862,2202.06862,Threats to Pre-trained Language Models: Survey and Taxonomy,59,1180,8,10,high,13,63,outlines/059_2202.06862.outline.json,pdf/059_2202.06862.pdf,tex_src/059_2202.06862,5938812a35aabe85f8b2a08d0408d70cdab1627ceeb008b93d82e3f76a01eca5
60,2202.07893,2202.07893,"A Survey of Pretraining on Graphs: Taxonomy, Methods, and Applications",60,1190,8,10,high,29,89,outlines/060_2202.07893.outline.json,pdf/060_2202.07893.pdf,tex_src/060_2202.07893,5938812a35aabe85f8b2a08d0408d70cdab1627ceeb008b93d82e3f76a01eca5
61,2204.03719,2204.03719,"A survey on learning from imbalanced data streams: taxonomy, challenges, empirical study, and reproducible experimental framework",61,1257,8,10,high,37,169,outlines/061_2204.03719.outline.json,pdf/061_2204.03719.pdf,tex_src/061_2204.03719,5938812a35aabe85f8b2a08d0408d70cdab1627ceeb008b93d82e3f76a01eca5
62,2412.17759,2412.17759,"Survey of Large Multimodal Model Datasets, Application Categories and Taxonomy",62,2026,8,10,high,35,137,outlines/062_2412.17759.outline.json,pdf/062_2412.17759.pdf,tex_src/062_2412.17759,5938812a35aabe85f8b2a08d0408d70cdab1627ceeb008b93d82e3f76a01eca5
63,2502.11070,2502.11070,"A Survey on Vulnerability Prioritization: Taxonomy, Metrics, and Research Challenges",63,2066,8,10,high,42,156,outlines/063_2502.11070.outline.json,pdf/063_2502.11070.pdf,tex_src/063_2502.11070,5938812a35aabe85f8b2a08d0408d70cdab1627ceeb008b93d82e3f76a01eca5
64,1703.06118,1703.06118,A Review on Flight Delay Prediction,64,666,8,9,high,19,134,outlines/064_1703.06118.outline.json,pdf/064_1703.06118.pdf,tex_src/064_1703.06118,5938812a35aabe85f8b2a08d0408d70cdab1627ceeb008b93d82e3f76a01eca5
65,1904.05046,1904.05046,Generalizing from a Few Examples: A Survey on Few-Shot Learning,65,681,8,9,high,50,200,outlines/065_1904.05046.outline.json,pdf/065_1904.05046.pdf,tex_src/065_1904.05046,5938812a35aabe85f8b2a08d0408d70cdab1627ceeb008b93d82e3f76a01eca5
66,2003.00395,2003.00395,"Authentication, Access Control, Privacy, Threats and Trust Management Towards Securing Fog Computing Environments: A Review",66,731,8,9,high,48,179,outlines/066_2003.00395.outline.json,pdf/066_2003.00395.pdf,tex_src/066_2003.00395,5938812a35aabe85f8b2a08d0408d70cdab1627ceeb008b93d82e3f76a01eca5
67,2004.05993,2004.05993,A Survey of Single-Scene Video Anomaly Detection,67,751,8,9,high,40,151,outlines/067_2004.05993.outline.json,pdf/067_2004.05993.pdf,tex_src/067_2004.05993,5938812a35aabe85f8b2a08d0408d70cdab1627ceeb008b93d82e3f76a01eca5
68,2004.11588,2004.11588,Learning Hierarchical Review Graph Representations for Recommendation,68,758,8,9,high,25,75,outlines/068_2004.11588.outline.json,pdf/068_2004.11588.pdf,tex_src/068_2004.11588,5938812a35aabe85f8b2a08d0408d70cdab1627ceeb008b93d82e3f76a01eca5
69,2006.00093,2006.00093,Explainable Artificial Intelligence: a Systematic Review,69,778,8,9,high,32,446,outlines/069_2006.00093.outline.json,pdf/069_2006.00093.pdf,tex_src/069_2006.00093,5938812a35aabe85f8b2a08d0408d70cdab1627ceeb008b93d82e3f76a01eca5
70,2008.09632,2008.09632,A Survey of Visual Analytics Techniques for Machine Learning,70,791,8,9,high,40,324,outlines/070_2008.09632.outline.json,pdf/070_2008.09632.pdf,tex_src/070_2008.09632,5938812a35aabe85f8b2a08d0408d70cdab1627ceeb008b93d82e3f76a01eca5
71,2009.12153,2009.12153,A Systematic Review on Model Watermarking for Neural Networks,71,812,8,9,high,36,84,outlines/071_2009.12153.outline.json,pdf/071_2009.12153.pdf,tex_src/071_2009.12153,5938812a35aabe85f8b2a08d0408d70cdab1627ceeb008b93d82e3f76a01eca5
72,2010.12742,2010.12742,Text Style Transfer: A Review and Experimental Evaluation,72,835,8,9,high,50,190,outlines/072_2010.12742.outline.json,pdf/072_2010.12742.pdf,tex_src/072_2010.12742,5938812a35aabe85f8b2a08d0408d70cdab1627ceeb008b93d82e3f76a01eca5
73,2011.04406,2011.04406,"A Survey of Label-noise Representation Learning: Past, Present and Future",73,849,8,9,high,58,158,outlines/073_2011.04406.outline.json,pdf/073_2011.04406.pdf,tex_src/073_2011.04406,5938812a35aabe85f8b2a08d0408d70cdab1627ceeb008b93d82e3f76a01eca5
74,2102.01330,2102.01330,AI4VIS: Survey on Artificial Intelligence Approaches for Data Visualization,74,912,8,9,high,18,183,outlines/074_2102.01330.outline.json,pdf/074_2102.01330.pdf,tex_src/074_2102.01330,5938812a35aabe85f8b2a08d0408d70cdab1627ceeb008b93d82e3f76a01eca5
75,2102.13076,2102.13076,Benchmarking and Survey of Explanation Methods for Black Box Models,75,932,8,9,high,33,154,outlines/075_2102.13076.outline.json,pdf/075_2102.13076.pdf,tex_src/075_2102.13076,5938812a35aabe85f8b2a08d0408d70cdab1627ceeb008b93d82e3f76a01eca5
76,2103.08777,2103.08777,A Systematic Literature Review and Taxonomy of Modern Code Review,76,944,8,9,high,54,167,outlines/076_2103.08777.outline.json,pdf/076_2103.08777.pdf,tex_src/076_2103.08777,5938812a35aabe85f8b2a08d0408d70cdab1627ceeb008b93d82e3f76a01eca5
77,2105.07190,2105.07190,A Comprehensive Taxonomy for Explainable Artificial Intelligence: A Systematic Survey of Surveys on Methods and Concepts,77,990,8,9,high,28,199,outlines/077_2105.07190.outline.json,pdf/077_2105.07190.pdf,tex_src/077_2105.07190,5938812a35aabe85f8b2a08d0408d70cdab1627ceeb008b93d82e3f76a01eca5
78,2109.03540,2109.03540,A Survey of Deep Reinforcement Learning in Recommender Systems: A Systematic Review and Future Directions,78,1062,8,9,high,29,156,outlines/078_2109.03540.outline.json,pdf/078_2109.03540.pdf,tex_src/078_2109.03540,5938812a35aabe85f8b2a08d0408d70cdab1627ceeb008b93d82e3f76a01eca5
79,2110.00773,2110.00773,Emerging Trends of Recently Published Datasets for Intrusion Detection Systems (IDS): A Survey,79,1083,8,9,high,19,34,outlines/079_2110.00773.outline.json,pdf/079_2110.00773.pdf,tex_src/079_2110.00773,5938812a35aabe85f8b2a08d0408d70cdab1627ceeb008b93d82e3f76a01eca5
80,2110.08455,2110.08455,Knowledge Enhanced Pretrained Language Models: A Compreshensive Survey,80,1094,8,9,high,36,124,outlines/080_2110.08455.outline.json,pdf/080_2110.08455.pdf,tex_src/080_2110.08455,5938812a35aabe85f8b2a08d0408d70cdab1627ceeb008b93d82e3f76a01eca5
81,2111.00201,2111.00201,A Comparative Review of Recent Few-Shot Object Detection Algorithms,81,1103,8,9,high,29,213,outlines/081_2111.00201.outline.json,pdf/081_2111.00201.pdf,tex_src/081_2111.00201,5938812a35aabe85f8b2a08d0408d70cdab1627ceeb008b93d82e3f76a01eca5
82,2111.00358,2111.00358,A Survey on the Robustness of Feature Importance and Counterfactual Explanations,82,1104,8,9,high,7,279,outlines/082_2111.00358.outline.json,pdf/082_2111.00358.pdf,tex_src/082_2111.00358,5938812a35aabe85f8b2a08d0408d70cdab1627ceeb008b93d82e3f76a01eca5
83,2202.08871,2202.08871,Graph Data Augmentation for Graph Machine Learning: A Survey,83,1196,8,9,high,29,170,outlines/083_2202.08871.outline.json,pdf/083_2202.08871.pdf,tex_src/083_2202.08871,5938812a35aabe85f8b2a08d0408d70cdab1627ceeb008b93d82e3f76a01eca5
84,2203.00538,2203.00538,Capability-based Frameworks for Industrial Robot Skills: a Survey,84,1217,8,9,high,27,254,outlines/084_2203.00538.outline.json,pdf/084_2203.00538.pdf,tex_src/084_2203.00538,5938812a35aabe85f8b2a08d0408d70cdab1627ceeb008b93d82e3f76a01eca5
85,2203.06414,2203.06414,A Survey of Adversarial Defences and Robustness in NLP,85,1226,8,9,high,29,188,outlines/085_2203.06414.outline.json,pdf/085_2203.06414.pdf,tex_src/085_2203.06414,5938812a35aabe85f8b2a08d0408d70cdab1627ceeb008b93d82e3f76a01eca5
86,2204.08329,2204.08329,A Comprehensive Survey on Data-Efficient GANs in Image Generation,86,1265,8,9,high,21,76,outlines/086_2204.08329.outline.json,pdf/086_2204.08329.pdf,tex_src/086_2204.08329,5938812a35aabe85f8b2a08d0408d70cdab1627ceeb008b93d82e3f76a01eca5
87,2205.01491,2205.01491,A Comprehensive Survey of Image Augmentation Techniques for Deep Learning,87,1288,8,9,high,24,174,outlines/087_2205.01491.outline.json,pdf/087_2205.01491.pdf,tex_src/087_2205.01491,5938812a35aabe85f8b2a08d0408d70cdab1627ceeb008b93d82e3f76a01eca5
