test_index,arxiv_id,paper_id,title,rank,raw_line_number,taxonomy_signal_score,taxonomy_ranking_score,taxonomy_signal_bucket,outline_node_count,reference_count,outline_path,pdf_path,tex_source_dir,raw_sha256
88,2205.02071,2205.02071,"ANUBIS: Skeleton Action Recognition Dataset, Review, and Benchmark",88,1291,8,9,high,27,241,outlines/088_2205.02071.outline.json,pdf/088_2205.02071.pdf,tex_src/088_2205.02071,5938812a35aabe85f8b2a08d0408d70cdab1627ceeb008b93d82e3f76a01eca5
89,2206.06544,2206.06544,A Survey of Automated Data Augmentation Algorithms for Deep Learning-based Image Classification Tasks,89,1325,8,9,high,55,138,outlines/089_2206.06544.outline.json,pdf/089_2206.06544.pdf,tex_src/089_2206.06544,5938812a35aabe85f8b2a08d0408d70cdab1627ceeb008b93d82e3f76a01eca5
90,2206.08451,2206.08451,I Know What You Trained Last Summer: A Survey on Stealing Machine Learning Models and Defences,90,1327,8,9,high,46,169,outlines/090_2206.08451.outline.json,pdf/090_2206.08451.pdf,tex_src/090_2206.08451,5938812a35aabe85f8b2a08d0408d70cdab1627ceeb008b93d82e3f76a01eca5
91,2206.09514,2206.09514,Ethics in AI through the Practitioner's View: A Grounded Theory Literature Review,91,1330,8,9,high,49,86,outlines/091_2206.09514.outline.json,pdf/091_2206.09514.pdf,tex_src/091_2206.09514,5938812a35aabe85f8b2a08d0408d70cdab1627ceeb008b93d82e3f76a01eca5
92,2208.01712,2208.01712,"No Pattern, No Recognition: a Survey about Reproducibility and Distortion Issues of Text Clustering and Topic Modeling",92,1367,8,9,high,26,263,outlines/092_2208.01712.outline.json,pdf/092_2208.01712.pdf,tex_src/092_2208.01712,5938812a35aabe85f8b2a08d0408d70cdab1627ceeb008b93d82e3f76a01eca5
93,2209.07175,2209.07175,Literature Review of the Recent Trends and Applications in various Fuzzy Rule based systems,93,1402,8,9,high,15,179,outlines/093_2209.07175.outline.json,pdf/093_2209.07175.pdf,tex_src/093_2209.07175,5938812a35aabe85f8b2a08d0408d70cdab1627ceeb008b93d82e3f76a01eca5
94,2210.08765,2210.08765,"Temporal Link Prediction: A Unified Framework, Taxonomy, and Review",94,1421,8,9,high,35,126,outlines/094_2210.08765.outline.json,pdf/094_2210.08765.pdf,tex_src/094_2210.08765,5938812a35aabe85f8b2a08d0408d70cdab1627ceeb008b93d82e3f76a01eca5
95,2212.06272,2212.06272,"Lightweight Blockchain Solutions: Taxonomy, Research Progress, and Comprehensive Review",95,1462,8,9,high,30,127,outlines/095_2212.06272.outline.json,pdf/095_2212.06272.pdf,tex_src/095_2212.06272,5938812a35aabe85f8b2a08d0408d70cdab1627ceeb008b93d82e3f76a01eca5
96,2301.04655,2301.04655,ChatGPT is not all you need. A State of the Art Review of large Generative AI models,96,1488,8,9,high,34,34,outlines/096_2301.04655.outline.json,pdf/096_2301.04655.pdf,tex_src/096_2301.04655,5938812a35aabe85f8b2a08d0408d70cdab1627ceeb008b93d82e3f76a01eca5
97,2301.07014,2301.07014,Dataset Distillation: A Comprehensive Review,97,1497,8,9,high,42,177,outlines/097_2301.07014.outline.json,pdf/097_2301.07014.pdf,tex_src/097_2301.07014,5938812a35aabe85f8b2a08d0408d70cdab1627ceeb008b93d82e3f76a01eca5
98,2302.13876,2302.13876,Evolution of MAC Protocols in the Machine Learning Decade: A Comprehensive Survey,98,1537,8,9,high,31,107,outlines/098_2302.13876.outline.json,pdf/098_2302.13876.pdf,tex_src/098_2302.13876,5938812a35aabe85f8b2a08d0408d70cdab1627ceeb008b93d82e3f76a01eca5
99,2303.00265,2303.00265,Security of RPL Based 6LoWPAN Networks in the Internet of Things: A Review,99,1538,8,9,high,53,217,outlines/099_2303.00265.outline.json,pdf/099_2303.00265.pdf,tex_src/099_2303.00265,5938812a35aabe85f8b2a08d0408d70cdab1627ceeb008b93d82e3f76a01eca5
100,2303.09253,2303.09253,A Survey of Deep Visual Cross-Domain Few-Shot Learning,100,1557,8,9,high,38,135,outlines/100_2303.09253.outline.json,pdf/100_2303.09253.pdf,tex_src/100_2303.09253,5938812a35aabe85f8b2a08d0408d70cdab1627ceeb008b93d82e3f76a01eca5
101,2305.00264,2305.00264,"A Comprehensive Review of Image Line Segment Detection and Description: Taxonomies, Comparisons, and Challenges",101,1602,8,9,high,56,251,outlines/101_2305.00264.outline.json,pdf/101_2305.00264.pdf,tex_src/101_2305.00264,5938812a35aabe85f8b2a08d0408d70cdab1627ceeb008b93d82e3f76a01eca5
102,2305.05750,2305.05750,A Systematic Literature Review on Hardware Reliability Assessment Methods for Deep Neural Networks,102,1617,8,9,high,22,201,outlines/102_2305.05750.outline.json,pdf/102_2305.05750.pdf,tex_src/102_2305.05750,5938812a35aabe85f8b2a08d0408d70cdab1627ceeb008b93d82e3f76a01eca5
103,2306.10051,2306.10051,TOBY: A Tool for Exploring Data in Academic Survey Papers,103,1668,8,9,high,13,29,outlines/103_2306.10051.outline.json,pdf/103_2306.10051.pdf,tex_src/103_2306.10051,5938812a35aabe85f8b2a08d0408d70cdab1627ceeb008b93d82e3f76a01eca5
104,2307.04367,2307.04367,Explanation Needs in App Reviews: Taxonomy and Automated Detection,104,1696,8,9,high,18,57,outlines/104_2307.04367.outline.json,pdf/104_2307.04367.pdf,tex_src/104_2307.04367,5938812a35aabe85f8b2a08d0408d70cdab1627ceeb008b93d82e3f76a01eca5
105,2307.05988,2307.05988,A Comprehensive Review of Automated Data Annotation Techniques in Human Activity Recognition,105,1700,8,9,high,21,79,outlines/105_2307.05988.outline.json,pdf/105_2307.05988.pdf,tex_src/105_2307.05988,5938812a35aabe85f8b2a08d0408d70cdab1627ceeb008b93d82e3f76a01eca5
106,2307.07573,2307.07573,Literature Survey on the Container Stowage Planning Problem,106,468,8,9,high,20,232,outlines/106_2307.07573.outline.json,pdf/106_2307.07573.pdf,tex_src/106_2307.07573,5938812a35aabe85f8b2a08d0408d70cdab1627ceeb008b93d82e3f76a01eca5
107,2307.08823,2307.08823,Risk assessment at AGI companies: A review of popular risk assessment techniques from other safety-critical industries,107,1708,8,9,high,18,208,outlines/107_2307.08823.outline.json,pdf/107_2307.08823.pdf,tex_src/107_2307.08823,5938812a35aabe85f8b2a08d0408d70cdab1627ceeb008b93d82e3f76a01eca5
108,2308.11455,2308.11455,A Survey on Self-Supervised Representation Learning,108,1742,8,9,high,18,85,outlines/108_2308.11455.outline.json,pdf/108_2308.11455.pdf,tex_src/108_2308.11455,5938812a35aabe85f8b2a08d0408d70cdab1627ceeb008b93d82e3f76a01eca5
109,2308.13420,2308.13420,Reinforcement Learning-assisted Evolutionary Algorithm: A Survey and Research Opportunities,109,1745,8,9,high,33,174,outlines/109_2308.13420.outline.json,pdf/109_2308.13420.pdf,tex_src/109_2308.13420,5938812a35aabe85f8b2a08d0408d70cdab1627ceeb008b93d82e3f76a01eca5
110,2309.06751,2309.06751,Remote Sensing Object Detection Meets Deep Learning: A Meta-review of Challenges and Advances,110,1767,8,9,high,50,360,outlines/110_2309.06751.outline.json,pdf/110_2309.06751.pdf,tex_src/110_2309.06751,5938812a35aabe85f8b2a08d0408d70cdab1627ceeb008b93d82e3f76a01eca5
111,2309.09937,2309.09937,TransientViT: A novel CNN - Vision Transformer hybrid real/bogus transient classifier for the Kilodegree Automatic Transient Survey,111,487,8,9,high,23,44,outlines/111_2309.09937.outline.json,pdf/111_2309.09937.pdf,tex_src/111_2309.09937,5938812a35aabe85f8b2a08d0408d70cdab1627ceeb008b93d82e3f76a01eca5
112,2310.01424,2310.01424,Identifying and Mitigating Privacy Risks Stemming from Language Models: A Survey,112,1789,8,9,high,22,232,outlines/112_2310.01424.outline.json,pdf/112_2310.01424.pdf,tex_src/112_2310.01424,5938812a35aabe85f8b2a08d0408d70cdab1627ceeb008b93d82e3f76a01eca5
113,2310.10060,2310.10060,Data Augmentation for Time-Series Classification: An Extensive Empirical Study and Comprehensive Survey,113,1807,8,9,high,51,207,outlines/113_2310.10060.outline.json,pdf/113_2310.10060.pdf,tex_src/113_2310.10060,5938812a35aabe85f8b2a08d0408d70cdab1627ceeb008b93d82e3f76a01eca5
114,2310.19778,2310.19778,Human-AI collaboration is not very collaborative yet: A taxonomy of interaction patterns in AI-assisted decision making from a systematic review,114,1827,8,9,high,21,180,outlines/114_2310.19778.outline.json,pdf/114_2310.19778.pdf,tex_src/114_2310.19778,5938812a35aabe85f8b2a08d0408d70cdab1627ceeb008b93d82e3f76a01eca5
115,2311.12399,2311.12399,A Survey of Graph Meets Large Language Model: Progress and Future Directions,115,1850,8,9,high,21,112,outlines/115_2311.12399.outline.json,pdf/115_2311.12399.pdf,tex_src/115_2311.12399,5938812a35aabe85f8b2a08d0408d70cdab1627ceeb008b93d82e3f76a01eca5
116,2311.16534,2311.16534,Graph Prompt Learning: A Comprehensive Survey and Beyond,116,1860,8,9,high,31,175,outlines/116_2311.16534.outline.json,pdf/116_2311.16534.pdf,tex_src/116_2311.16534,5938812a35aabe85f8b2a08d0408d70cdab1627ceeb008b93d82e3f76a01eca5
117,2402.03082,2402.03082,Visual Text Meets Low-level Vision: A Comprehensive Survey on Visual Text Processing,117,1960,8,9,high,58,255,outlines/117_2402.03082.outline.json,pdf/117_2402.03082.pdf,tex_src/117_2402.03082,5938812a35aabe85f8b2a08d0408d70cdab1627ceeb008b93d82e3f76a01eca5
118,2402.06647,2402.06647,A Survey on Large Language Model Hallucination via a Creativity Perspective,118,1969,8,9,high,16,67,outlines/118_2402.06647.outline.json,pdf/118_2402.06647.pdf,tex_src/118_2402.06647,5938812a35aabe85f8b2a08d0408d70cdab1627ceeb008b93d82e3f76a01eca5
119,2412.12744,2412.12744,Your Next State-of-the-Art Could Come from Another Domain: A Cross-Domain Analysis of Hierarchical Text Classification,119,2008,8,9,high,27,59,outlines/119_2412.12744.outline.json,pdf/119_2412.12744.pdf,tex_src/119_2412.12744,5938812a35aabe85f8b2a08d0408d70cdab1627ceeb008b93d82e3f76a01eca5
120,2412.15228,2412.15228,Image Privacy Protection: A Survey,120,2015,8,9,high,55,145,outlines/120_2412.15228.outline.json,pdf/120_2412.15228.pdf,tex_src/120_2412.15228,5938812a35aabe85f8b2a08d0408d70cdab1627ceeb008b93d82e3f76a01eca5
121,2501.10548,2501.10548,Diffusion Models in Recommendation Systems: A Survey,121,2041,8,9,high,18,184,outlines/121_2501.10548.outline.json,pdf/121_2501.10548.pdf,tex_src/121_2501.10548,5938812a35aabe85f8b2a08d0408d70cdab1627ceeb008b93d82e3f76a01eca5
122,2502.07161,2502.07161,A Survey on Mamba Architecture for Vision Applications,122,2049,8,9,high,19,98,outlines/122_2502.07161.outline.json,pdf/122_2502.07161.pdf,tex_src/122_2502.07161,5938812a35aabe85f8b2a08d0408d70cdab1627ceeb008b93d82e3f76a01eca5
123,2502.08346,2502.08346,Graph Foundation Models for Recommendation: A Comprehensive Survey,123,2052,8,9,high,19,65,outlines/123_2502.08346.outline.json,pdf/123_2502.08346.pdf,tex_src/123_2502.08346,5938812a35aabe85f8b2a08d0408d70cdab1627ceeb008b93d82e3f76a01eca5
124,2502.08660,2502.08660,Semantic Role Labeling: A Systematical Survey,124,2054,8,9,high,31,176,outlines/124_2502.08660.outline.json,pdf/124_2502.08660.pdf,tex_src/124_2502.08660,5938812a35aabe85f8b2a08d0408d70cdab1627ceeb008b93d82e3f76a01eca5
125,2502.11453,2502.11453,Connector-S: A Survey of Connectors in Multi-modal Large Language Models,125,2068,8,9,high,17,67,outlines/125_2502.11453.outline.json,pdf/125_2502.11453.pdf,tex_src/125_2502.11453,5938812a35aabe85f8b2a08d0408d70cdab1627ceeb008b93d82e3f76a01eca5
126,2503.00952,2503.00952,"A Survey on Ordinal Regression: Applications, Advances and Prospects",126,2102,8,9,high,21,52,outlines/126_2503.00952.outline.json,pdf/126_2503.00952.pdf,tex_src/126_2503.00952,5938812a35aabe85f8b2a08d0408d70cdab1627ceeb008b93d82e3f76a01eca5
127,2503.08998,2503.08998,From Task-Specific Models to Unified Systems: A Review of Model Merging Approaches,127,2120,8,9,high,15,80,outlines/127_2503.08998.outline.json,pdf/127_2503.08998.pdf,tex_src/127_2503.08998,5938812a35aabe85f8b2a08d0408d70cdab1627ceeb008b93d82e3f76a01eca5
128,2307.13427,2307.13427,Comprehensive Review on Semantic Information Retrieval and Ontology Engineering,128,1715,7,9,high,17,31,outlines/128_2307.13427.outline.json,pdf/128_2307.13427.pdf,tex_src/128_2307.13427,5938812a35aabe85f8b2a08d0408d70cdab1627ceeb008b93d82e3f76a01eca5
129,1908.03171,1908.03171,Completing and Debugging Ontologies: state of the art and challenges,129,687,7,9,high,25,110,outlines/129_1908.03171.outline.json,pdf/129_1908.03171.pdf,tex_src/129_1908.03171,5938812a35aabe85f8b2a08d0408d70cdab1627ceeb008b93d82e3f76a01eca5
130,2205.02987,2205.02987,Tell Me Something That Will Help Me Trust You: A Survey of Trust Calibration in Human-Agent Interaction,130,1292,7,9,high,29,57,outlines/130_2205.02987.outline.json,pdf/130_2205.02987.pdf,tex_src/130_2205.02987,5938812a35aabe85f8b2a08d0408d70cdab1627ceeb008b93d82e3f76a01eca5
131,2206.00421,2206.00421,The Use of NLP-Based Text Representation Techniques to Support Requirement Engineering Tasks: A Systematic Mapping Review,131,1314,7,9,high,39,212,outlines/131_2206.00421.outline.json,pdf/131_2206.00421.pdf,tex_src/131_2206.00421,5938812a35aabe85f8b2a08d0408d70cdab1627ceeb008b93d82e3f76a01eca5
132,2305.01975,2305.01975,"A Survey on Dataset Distillation: Approaches, Applications and Future Directions",132,1608,7,9,high,34,112,outlines/132_2305.01975.outline.json,pdf/132_2305.01975.pdf,tex_src/132_2305.01975,5938812a35aabe85f8b2a08d0408d70cdab1627ceeb008b93d82e3f76a01eca5
133,2106.03323,2106.03323,A Comprehensive Survey and Taxonomy on Single Image Dehazing Based on Deep Learning,133,1011,7,9,high,50,321,outlines/133_2106.03323.outline.json,pdf/133_2106.03323.pdf,tex_src/133_2106.03323,5938812a35aabe85f8b2a08d0408d70cdab1627ceeb008b93d82e3f76a01eca5
134,2207.12599,2207.12599,A Survey of Explainable Graph Neural Networks: Taxonomy and Evaluation Metrics,134,1359,7,9,high,16,134,outlines/134_2207.12599.outline.json,pdf/134_2207.12599.pdf,tex_src/134_2207.12599,5938812a35aabe85f8b2a08d0408d70cdab1627ceeb008b93d82e3f76a01eca5
135,2308.02457,2308.02457,"A Survey on Temporal Knowledge Graph Completion: Taxonomy, Progress, and Prospects",135,1726,7,9,high,44,158,outlines/135_2308.02457.outline.json,pdf/135_2308.02457.pdf,tex_src/135_2308.02457,5938812a35aabe85f8b2a08d0408d70cdab1627ceeb008b93d82e3f76a01eca5
136,1805.10511,1805.10511,A Survey of Utility-Oriented Pattern Mining,136,671,8,8,high,28,187,outlines/136_1805.10511.outline.json,pdf/136_1805.10511.pdf,tex_src/136_1805.10511,5938812a35aabe85f8b2a08d0408d70cdab1627ceeb008b93d82e3f76a01eca5
137,1812.09449,1812.09449,A Survey on Deep Learning for Named Entity Recognition,137,674,8,8,high,40,231,outlines/137_1812.09449.outline.json,pdf/137_1812.09449.pdf,tex_src/137_1812.09449,5938812a35aabe85f8b2a08d0408d70cdab1627ceeb008b93d82e3f76a01eca5
138,1902.10102,1902.10102,A multimodal movie review corpus for fine-grained opinion mining,138,677,8,8,high,13,27,outlines/138_1902.10102.outline.json,pdf/138_1902.10102.pdf,tex_src/138_1902.10102,5938812a35aabe85f8b2a08d0408d70cdab1627ceeb008b93d82e3f76a01eca5
139,1906.06184,1906.06184,A Holistic Survey of Wireless Multipath Video Streaming,139,686,8,8,high,48,281,outlines/139_1906.06184.outline.json,pdf/139_1906.06184.pdf,tex_src/139_1906.06184,5938812a35aabe85f8b2a08d0408d70cdab1627ceeb008b93d82e3f76a01eca5
140,1908.09083,1908.09083,Multi-view Story Characterization from Movie Plot Synopses and Reviews,140,690,8,8,high,13,52,outlines/140_1908.09083.outline.json,pdf/140_1908.09083.pdf,tex_src/140_1908.09083,5938812a35aabe85f8b2a08d0408d70cdab1627ceeb008b93d82e3f76a01eca5
141,1910.08252,1910.08252,Entity Summarization: State of the Art and Future Challenges,141,698,8,8,high,31,94,outlines/141_1910.08252.outline.json,pdf/141_1910.08252.pdf,tex_src/141_1910.08252,5938812a35aabe85f8b2a08d0408d70cdab1627ceeb008b93d82e3f76a01eca5
142,2005.05842,2005.05842,A Survey of Behavior Trees in Robotics and AI,142,769,8,8,high,27,227,outlines/142_2005.05842.outline.json,pdf/142_2005.05842.pdf,tex_src/142_2005.05842,5938812a35aabe85f8b2a08d0408d70cdab1627ceeb008b93d82e3f76a01eca5
143,2008.07235,2008.07235,A Survey of Deep Learning for Data Caching in Edge Network,143,786,8,8,high,27,110,outlines/143_2008.07235.outline.json,pdf/143_2008.07235.pdf,tex_src/143_2008.07235,5938812a35aabe85f8b2a08d0408d70cdab1627ceeb008b93d82e3f76a01eca5
144,2008.13102,2008.13102,Blackmarket-driven Collusion on Online Media: A Survey,144,799,8,8,high,49,196,outlines/144_2008.13102.outline.json,pdf/144_2008.13102.pdf,tex_src/144_2008.13102,5938812a35aabe85f8b2a08d0408d70cdab1627ceeb008b93d82e3f76a01eca5
145,2009.12619,2009.12619,"Sensing Technologies for Crowd Management, Adaptation, and Information Dissemination in Public Transportation Systems: A Review",145,813,8,8,high,39,232,outlines/145_2009.12619.outline.json,pdf/145_2009.12619.pdf,tex_src/145_2009.12619,5938812a35aabe85f8b2a08d0408d70cdab1627ceeb008b93d82e3f76a01eca5
146,2010.00713,2010.00713,Traffic Behavior in Cloud Data Centers: A Survey,146,820,8,8,high,17,207,outlines/146_2010.00713.outline.json,pdf/146_2010.00713.pdf,tex_src/146_2010.00713,5938812a35aabe85f8b2a08d0408d70cdab1627ceeb008b93d82e3f76a01eca5
147,2011.04843,2011.04843,Multi-document Summarization via Deep Learning Techniques: A Survey,147,850,8,8,high,37,215,outlines/147_2011.04843.outline.json,pdf/147_2011.04843.pdf,tex_src/147_2011.04843,5938812a35aabe85f8b2a08d0408d70cdab1627ceeb008b93d82e3f76a01eca5
148,2011.08641,2011.08641,A Review of Generalized Zero-Shot Learning Methods,148,863,8,8,high,38,292,outlines/148_2011.08641.outline.json,pdf/148_2011.08641.pdf,tex_src/148_2011.08641,5938812a35aabe85f8b2a08d0408d70cdab1627ceeb008b93d82e3f76a01eca5
149,2012.09276,2012.09276,Measuring Disentanglement: A Review of Metrics,149,887,8,8,high,35,50,outlines/149_2012.09276.outline.json,pdf/149_2012.09276.pdf,tex_src/149_2012.09276,5938812a35aabe85f8b2a08d0408d70cdab1627ceeb008b93d82e3f76a01eca5
150,2103.09990,2103.09990,Human-AI Symbiosis: A Survey of Current Approaches,150,947,8,8,high,20,55,outlines/150_2103.09990.outline.json,pdf/150_2103.09990.pdf,tex_src/150_2103.09990,5938812a35aabe85f8b2a08d0408d70cdab1627ceeb008b93d82e3f76a01eca5
151,2104.10810,2104.10810,A Short Survey of Pre-trained Language Models for Conversational AI-A NewAge in NLP,151,970,8,8,high,11,22,outlines/151_2104.10810.outline.json,pdf/151_2104.10810.pdf,tex_src/151_2104.10810,5938812a35aabe85f8b2a08d0408d70cdab1627ceeb008b93d82e3f76a01eca5
152,2106.12714,2106.12714,"Circuit Masking: From Theory to Standardization, A Comprehensive Survey for Hardware Security Researchers and Practitioners",152,1021,8,8,high,50,206,outlines/152_2106.12714.outline.json,pdf/152_2106.12714.pdf,tex_src/152_2106.12714,5938812a35aabe85f8b2a08d0408d70cdab1627ceeb008b93d82e3f76a01eca5
153,2108.05624,2108.05624,Operationalizing Human Values in Software Engineering: A Survey,153,1050,8,8,high,47,230,outlines/153_2108.05624.outline.json,pdf/153_2108.05624.pdf,tex_src/153_2108.05624,5938812a35aabe85f8b2a08d0408d70cdab1627ceeb008b93d82e3f76a01eca5
154,2109.08039,2109.08039,A Survey on Temporal Sentence Grounding in Videos,154,1070,8,8,high,21,103,outlines/154_2109.08039.outline.json,pdf/154_2109.08039.pdf,tex_src/154_2109.08039,5938812a35aabe85f8b2a08d0408d70cdab1627ceeb008b93d82e3f76a01eca5
155,2111.01968,2111.01968,A Survey on Epistemic (Model) Uncertainty in Supervised Learning: Recent Advances and Applications,155,1106,8,8,high,17,223,outlines/155_2111.01968.outline.json,pdf/155_2111.01968.pdf,tex_src/155_2111.01968,5938812a35aabe85f8b2a08d0408d70cdab1627ceeb008b93d82e3f76a01eca5
156,2111.11964,2111.11964,Reviewing continual learning from the perspective of human-level intelligence,156,1113,8,8,high,21,181,outlines/156_2111.11964.outline.json,pdf/156_2111.11964.pdf,tex_src/156_2111.11964,5938812a35aabe85f8b2a08d0408d70cdab1627ceeb008b93d82e3f76a01eca5
157,2112.05700,2112.05700,A Framework for Fairness: A Systematic Review of Existing Fair AI Solutions,157,1124,8,8,high,39,116,outlines/157_2112.05700.outline.json,pdf/157_2112.05700.pdf,tex_src/157_2112.05700,5938812a35aabe85f8b2a08d0408d70cdab1627ceeb008b93d82e3f76a01eca5
158,2201.12944,2201.12944,Deep Learning Approaches on Image Captioning: A Review,158,1162,8,8,high,65,168,outlines/158_2201.12944.outline.json,pdf/158_2201.12944.pdf,tex_src/158_2201.12944,5938812a35aabe85f8b2a08d0408d70cdab1627ceeb008b93d82e3f76a01eca5
159,2202.02215,2202.02215,A Survey on Safety-Critical Driving Scenario Generation -- A Methodological Perspective,159,1166,8,8,high,51,226,outlines/159_2202.02215.outline.json,pdf/159_2202.02215.pdf,tex_src/159_2202.02215,5938812a35aabe85f8b2a08d0408d70cdab1627ceeb008b93d82e3f76a01eca5
160,2202.02510,2202.02510,A Survey on Poisoning Attacks Against Supervised Machine Learning,160,1167,8,8,high,14,20,outlines/160_2202.02510.outline.json,pdf/160_2202.02510.pdf,tex_src/160_2202.02510,5938812a35aabe85f8b2a08d0408d70cdab1627ceeb008b93d82e3f76a01eca5
161,2202.09195,2202.09195,A Review on Methods and Applications in Multimodal Deep Learning,161,1200,8,8,high,38,211,outlines/161_2202.09195.outline.json,pdf/161_2202.09195.pdf,tex_src/161_2202.09195,5938812a35aabe85f8b2a08d0408d70cdab1627ceeb008b93d82e3f76a01eca5
162,2203.11070,2203.11070,From Concept Drift to Model Degradation: An Overview on Performance-Aware Drift Detectors,162,1233,8,8,high,18,191,outlines/162_2203.11070.outline.json,pdf/162_2203.11070.pdf,tex_src/162_2203.11070,5938812a35aabe85f8b2a08d0408d70cdab1627ceeb008b93d82e3f76a01eca5
163,2203.11852,2203.11852,Representation Bias in Data: A Survey on Identification and Resolution Techniques,163,1234,8,8,high,35,195,outlines/163_2203.11852.outline.json,pdf/163_2203.11852.pdf,tex_src/163_2203.11852,5938812a35aabe85f8b2a08d0408d70cdab1627ceeb008b93d82e3f76a01eca5
164,2204.02027,2204.02027,A Survey on Dropout Methods and Experimental Verification in Recommendation,164,1247,8,8,high,34,156,outlines/164_2204.02027.outline.json,pdf/164_2204.02027.pdf,tex_src/164_2204.02027,5938812a35aabe85f8b2a08d0408d70cdab1627ceeb008b93d82e3f76a01eca5
165,2205.09428,2205.09428,Which bugs are missed in code reviews: An empirical study on SmartSHARK dataset,165,1300,8,8,high,9,15,outlines/165_2205.09428.outline.json,pdf/165_2205.09428.pdf,tex_src/165_2205.09428,5938812a35aabe85f8b2a08d0408d70cdab1627ceeb008b93d82e3f76a01eca5
166,2206.10465,2206.10465,An Overview of Privacy-enhancing Technologies in Biometric Recognition,166,1331,8,8,high,22,91,outlines/166_2206.10465.outline.json,pdf/166_2206.10465.pdf,tex_src/166_2206.10465,5938812a35aabe85f8b2a08d0408d70cdab1627ceeb008b93d82e3f76a01eca5
167,2206.13818,2206.13818,Minimal Morphoelastic Models of Solid Tumour Spheroids: A Tutorial,167,286,8,8,high,21,75,outlines/167_2206.13818.outline.json,pdf/167_2206.13818.pdf,tex_src/167_2206.13818,5938812a35aabe85f8b2a08d0408d70cdab1627ceeb008b93d82e3f76a01eca5
168,2207.01739,2207.01739,Machine Learning in Access Control: A Taxonomy and Survey,168,1340,8,8,high,49,164,outlines/168_2207.01739.outline.json,pdf/168_2207.01739.pdf,tex_src/168_2207.01739,5938812a35aabe85f8b2a08d0408d70cdab1627ceeb008b93d82e3f76a01eca5
169,2208.10941,2208.10941,A Review of Federated Learning in Energy Systems,169,1385,8,8,high,12,61,outlines/169_2208.10941.outline.json,pdf/169_2208.10941.pdf,tex_src/169_2208.10941,5938812a35aabe85f8b2a08d0408d70cdab1627ceeb008b93d82e3f76a01eca5
170,2210.06679,2210.06679,A Survey on UAV-enabled Edge Computing: Resource Management Perspective,170,1419,8,8,high,57,193,outlines/170_2210.06679.outline.json,pdf/170_2210.06679.pdf,tex_src/170_2210.06679,5938812a35aabe85f8b2a08d0408d70cdab1627ceeb008b93d82e3f76a01eca5
171,2210.09500,2210.09500,A Human-ML Collaboration Framework for Improving Video Content Reviews,171,1423,8,8,high,18,137,outlines/171_2210.09500.outline.json,pdf/171_2210.09500.pdf,tex_src/171_2210.09500,5938812a35aabe85f8b2a08d0408d70cdab1627ceeb008b93d82e3f76a01eca5
172,2211.11548,2211.11548,Survey of Query-based Text Summarization,172,1438,8,8,high,12,40,outlines/172_2211.11548.outline.json,pdf/172_2211.11548.pdf,tex_src/172_2211.11548,5938812a35aabe85f8b2a08d0408d70cdab1627ceeb008b93d82e3f76a01eca5
173,2212.08744,2212.08744,"Toward cross-subject and cross-session generalization in EEG-based emotion recognition: Systematic review, taxonomy, and methods",173,1466,8,8,high,18,372,outlines/173_2212.08744.outline.json,pdf/173_2212.08744.pdf,tex_src/173_2212.08744,5938812a35aabe85f8b2a08d0408d70cdab1627ceeb008b93d82e3f76a01eca5
