scenario,family,sigma_d,N_papers,delta_min_power_0.8,delta_min_power_0.9
bounded_low_variance_sigma_0.05,0-1 / structural-like,0.05,4,0.0700396304528242,0.08103788875211636
bounded_low_variance_sigma_0.05,0-1 / structural-like,0.05,10,0.04429695174148297,0.051252861045605586
bounded_low_variance_sigma_0.05,0-1 / structural-like,0.05,25,0.02801585218112968,0.032415155500846546
bounded_low_variance_sigma_0.05,0-1 / structural-like,0.05,50,0.019810199057996723,0.022920976267865007
bounded_low_variance_sigma_0.05,0-1 / structural-like,0.05,100,0.01400792609056484,0.016207577750423273
bounded_low_variance_sigma_0.05,0-1 / structural-like,0.05,200,0.009905099528998361,0.011460488133932504
bounded_mid_variance_sigma_0.10,0-1 / structural-like,0.1,4,0.1400792609056484,0.16207577750423272
bounded_mid_variance_sigma_0.10,0-1 / structural-like,0.1,10,0.08859390348296595,0.10250572209121117
bounded_mid_variance_sigma_0.10,0-1 / structural-like,0.1,25,0.05603170436225936,0.06483031100169309
bounded_mid_variance_sigma_0.10,0-1 / structural-like,0.1,50,0.039620398115993445,0.045841952535730014
bounded_mid_variance_sigma_0.10,0-1 / structural-like,0.1,100,0.02801585218112968,0.032415155500846546
bounded_mid_variance_sigma_0.10,0-1 / structural-like,0.1,200,0.019810199057996723,0.022920976267865007
bounded_high_variance_sigma_0.20,0-1 / structural-like,0.2,4,0.2801585218112968,0.32415155500846543
bounded_high_variance_sigma_0.20,0-1 / structural-like,0.2,10,0.1771878069659319,0.20501144418242234
bounded_high_variance_sigma_0.20,0-1 / structural-like,0.2,25,0.11206340872451873,0.12966062200338618
bounded_high_variance_sigma_0.20,0-1 / structural-like,0.2,50,0.07924079623198689,0.09168390507146003
bounded_high_variance_sigma_0.20,0-1 / structural-like,0.2,100,0.05603170436225936,0.06483031100169309
bounded_high_variance_sigma_0.20,0-1 / structural-like,0.2,200,0.039620398115993445,0.045841952535730014
judge_avg_low_sigma_0.50,0-10 judge average,0.5,4,0.700396304528242,0.8103788875211635
judge_avg_low_sigma_0.50,0-10 judge average,0.5,10,0.4429695174148297,0.5125286104560558
judge_avg_low_sigma_0.50,0-10 judge average,0.5,25,0.2801585218112968,0.3241515550084654
judge_avg_low_sigma_0.50,0-10 judge average,0.5,50,0.19810199057996725,0.22920976267865006
judge_avg_low_sigma_0.50,0-10 judge average,0.5,100,0.1400792609056484,0.1620757775042327
judge_avg_low_sigma_0.50,0-10 judge average,0.5,200,0.09905099528998362,0.11460488133932503
judge_avg_mid_sigma_1.00,0-10 judge average,1.0,4,1.400792609056484,1.620757775042327
judge_avg_mid_sigma_1.00,0-10 judge average,1.0,10,0.8859390348296594,1.0250572209121116
judge_avg_mid_sigma_1.00,0-10 judge average,1.0,25,0.5603170436225936,0.6483031100169308
judge_avg_mid_sigma_1.00,0-10 judge average,1.0,50,0.3962039811599345,0.45841952535730013
judge_avg_mid_sigma_1.00,0-10 judge average,1.0,100,0.2801585218112968,0.3241515550084654
judge_avg_mid_sigma_1.00,0-10 judge average,1.0,200,0.19810199057996725,0.22920976267865006
judge_avg_high_sigma_1.50,0-10 judge average,1.5,4,2.1011889135847257,2.4311366625634907
judge_avg_high_sigma_1.50,0-10 judge average,1.5,10,1.328908552244489,1.5375858313681676
judge_avg_high_sigma_1.50,0-10 judge average,1.5,25,0.8404755654338902,0.9724546650253962
judge_avg_high_sigma_1.50,0-10 judge average,1.5,50,0.5943059717399016,0.6876292880359502
judge_avg_high_sigma_1.50,0-10 judge average,1.5,100,0.4202377827169451,0.4862273325126981
judge_avg_high_sigma_1.50,0-10 judge average,1.5,200,0.2971529858699508,0.3438146440179751
structural_distance: ablation_with_meta_abstract vs ablation_no_meta_abstract (N=4),empirical structural_distance,0.047812326544622585,4,0.06697515364550245,0.07749219999005968
structural_distance: ablation_with_meta_abstract vs ablation_no_meta_abstract (N=4),empirical structural_distance,0.047812326544622585,10,0.042358806431903435,0.04901037057317321
structural_distance: ablation_with_meta_abstract vs ablation_no_meta_abstract (N=4),empirical structural_distance,0.047812326544622585,25,0.02679006145820098,0.030996879996023873
structural_distance: ablation_with_meta_abstract vs ablation_no_meta_abstract (N=4),empirical structural_distance,0.047812326544622585,50,0.01894343412549828,0.021918104040814124
structural_distance: ablation_with_meta_abstract vs ablation_no_meta_abstract (N=4),empirical structural_distance,0.047812326544622585,100,0.01339503072910049,0.015498439998011936
structural_distance: ablation_with_meta_abstract vs ablation_no_meta_abstract (N=4),empirical structural_distance,0.047812326544622585,200,0.00947171706274914,0.010959052020407062
judge_average: ablation_with_meta_abstract vs ablation_no_meta_abstract (N=4),empirical judge_average,1.8345955251064852,4,2.5698878521772635,2.9734349613741964
judge_average: ablation_with_meta_abstract vs ablation_no_meta_abstract (N=4),empirical judge_average,1.8345955251064852,10,1.6253397888156516,1.8805653904634496
judge_average: ablation_with_meta_abstract vs ablation_no_meta_abstract (N=4),empirical judge_average,1.8345955251064852,25,1.0279551408709053,1.1893739845496785
judge_average: ablation_with_meta_abstract vs ablation_no_meta_abstract (N=4),empirical judge_average,1.8345955251064852,50,0.7268740508653899,0.8410144098419416
judge_average: ablation_with_meta_abstract vs ablation_no_meta_abstract (N=4),empirical judge_average,1.8345955251064852,100,0.5139775704354527,0.5946869922748392
judge_average: ablation_with_meta_abstract vs ablation_no_meta_abstract (N=4),empirical judge_average,1.8345955251064852,200,0.36343702543269496,0.4205072049209708
structural_distance: gpt-5.4-xhigh-3papers vs gpt-5.4-mini-xhigh-4papers (N=3),empirical structural_distance,0.05962533843397867,4,0.08352273339080883,0.09663823085640103
structural_distance: gpt-5.4-xhigh-3papers vs gpt-5.4-mini-xhigh-4papers (N=3),empirical structural_distance,0.05962533843397867,10,0.05282441478359086,0.0611193837110783
structural_distance: gpt-5.4-xhigh-3papers vs gpt-5.4-mini-xhigh-4papers (N=3),empirical structural_distance,0.05962533843397867,25,0.033409093356323534,0.03865529234256041
structural_distance: gpt-5.4-xhigh-3papers vs gpt-5.4-mini-xhigh-4papers (N=3),empirical structural_distance,0.05962533843397867,50,0.023623796465550802,0.02733341934417289
structural_distance: gpt-5.4-xhigh-3papers vs gpt-5.4-mini-xhigh-4papers (N=3),empirical structural_distance,0.05962533843397867,100,0.016704546678161767,0.019327646171280206
structural_distance: gpt-5.4-xhigh-3papers vs gpt-5.4-mini-xhigh-4papers (N=3),empirical structural_distance,0.05962533843397867,200,0.011811898232775401,0.013666709672086445
judge_average: gpt-5.4-xhigh-3papers vs gpt-5.4-mini-xhigh-4papers (N=3),empirical judge_average,0.5204164998665327,4,0.7289955866440837,0.843469088418997
judge_average: gpt-5.4-xhigh-3papers vs gpt-5.4-mini-xhigh-4papers (N=3),empirical judge_average,0.5204164998665327,10,0.4610572916011856,0.5334566910699964
judge_average: gpt-5.4-xhigh-3papers vs gpt-5.4-mini-xhigh-4papers (N=3),empirical judge_average,0.5204164998665327,25,0.29159823465763346,0.3373876353675988
judge_average: gpt-5.4-xhigh-3papers vs gpt-5.4-mini-xhigh-4papers (N=3),empirical judge_average,0.5204164998665327,50,0.20619108910843878,0.23856908485692338
judge_average: gpt-5.4-xhigh-3papers vs gpt-5.4-mini-xhigh-4papers (N=3),empirical judge_average,0.5204164998665327,100,0.14579911732881673,0.1686938176837994
judge_average: gpt-5.4-xhigh-3papers vs gpt-5.4-mini-xhigh-4papers (N=3),empirical judge_average,0.5204164998665327,200,0.10309554455421939,0.11928454242846169
judge_average: gpt-5.4-xhigh__judge-gemini-3.1-pro-preview vs gpt-5.4-xhigh-3papers (N=3),empirical judge_average,1.0875984416917719,4,1.5234998587431834,1.7627336304958583
judge_average: gpt-5.4-xhigh__judge-gemini-3.1-pro-preview vs gpt-5.4-xhigh-3papers (N=3),empirical judge_average,1.0875984416917719,10,0.96354591371465,1.114850636108911
judge_average: gpt-5.4-xhigh__judge-gemini-3.1-pro-preview vs gpt-5.4-xhigh-3papers (N=3),empirical judge_average,1.0875984416917719,25,0.6093999434972733,0.7050934521983433
judge_average: gpt-5.4-xhigh__judge-gemini-3.1-pro-preview vs gpt-5.4-xhigh-3papers (N=3),empirical judge_average,1.0875984416917719,50,0.4309108325016209,0.4985763614196813
judge_average: gpt-5.4-xhigh__judge-gemini-3.1-pro-preview vs gpt-5.4-xhigh-3papers (N=3),empirical judge_average,1.0875984416917719,100,0.30469997174863667,0.35254672609917165
judge_average: gpt-5.4-xhigh__judge-gemini-3.1-pro-preview vs gpt-5.4-xhigh-3papers (N=3),empirical judge_average,1.0875984416917719,200,0.21545541625081044,0.24928818070984066
