paper_id,run_name,status,judge_backend,judge_model,judge_reasoning_effort,structural_distance,judge_average,结构_信息快速定位,结构_详略得当,内容_章节互斥性,内容_逻辑深度,内容_学术价值,语用_描述性与简洁性,path
096_2502.03108,baseline_no_taxonomy,success,codex,gpt-5.5,high,0.5641025641025641,6.583333333333333,7.0,7.5,5.5,6.5,7.5,5.5,results/2026-05-20_taxonomy_augmented_outline_prompt/096_2502.03108/no_abstract/baseline_no_taxonomy/chatgpt_meow_outline_blind.eval.json
096_2502.03108,taxonomy_augmented_v1_minimal,success,codex,gpt-5.5,high,0.6136363636363636,7.25,7.5,8.0,6.0,7.5,8.0,6.5,results/2026-05-20_taxonomy_augmented_outline_prompt/096_2502.03108/no_abstract/taxonomy_augmented_v1_minimal/chatgpt_meow_outline_blind.eval.json
096_2502.03108,taxonomy_augmented_v2_guarded,success,codex,gpt-5.5,high,0.5294117647058824,5.0,6.5,2.0,7.0,4.0,4.0,6.5,results/2026-05-20_taxonomy_augmented_outline_prompt/096_2502.03108/no_abstract/taxonomy_augmented_v2_guarded/chatgpt_meow_outline_blind.eval.json
096_2502.03108,baseline_no_taxonomy,success,codex,gpt-5.5,high,0.4827586206896552,7.0,8.0,7.0,6.5,5.5,6.5,8.5,results/2026-05-20_taxonomy_augmented_outline_prompt/096_2502.03108/with_abstract/baseline_no_taxonomy/chatgpt_meow_outline_blind.eval.json
096_2502.03108,taxonomy_augmented_v1_minimal,success,codex,gpt-5.5,high,0.39285714285714285,7.416666666666667,8.0,7.0,7.0,7.5,6.5,8.5,results/2026-05-20_taxonomy_augmented_outline_prompt/096_2502.03108/with_abstract/taxonomy_augmented_v1_minimal/chatgpt_meow_outline_blind.eval.json
096_2502.03108,taxonomy_augmented_v2_guarded,success,codex,gpt-5.5,high,0.47058823529411764,5.166666666666667,7.0,2.5,5.0,5.0,4.5,7.0,results/2026-05-20_taxonomy_augmented_outline_prompt/096_2502.03108/with_abstract/taxonomy_augmented_v2_guarded/chatgpt_meow_outline_blind.eval.json
2307.05527,ablation_no_meta_abstract,success,gemini,gemini-3.1-pro-preview,,0.4,7.333333333333333,9.0,3.0,8.0,5.0,9.0,10.0,results/2307.05527/ablation_no_meta_abstract/chatgpt_meow_outline_blind.eval.json
2307.05527,ablation_with_meta_abstract,success,gemini,gemini-3.1-pro-preview,,0.3783783783783784,8.0,9.0,9.0,8.5,7.5,9.0,5.0,results/2307.05527/ablation_with_meta_abstract/chatgpt_meow_outline_blind.eval.json
2307.05527,gemini-3.1-pro-preview-3papers,success,legacy_or_unspecified,gpt-5-nano,,0.3870967741935484,7.75,8.5,7.5,8.0,7.0,6.5,9.0,results/2307.05527/gemini-3.1-pro-preview-3papers/chatgpt_meow_outline_blind.eval.json
2307.05527,gemini-3.1-pro-preview__judge-gpt-5.4-xhigh,success,codex,gpt-5.4,xhigh,0.3870967741935484,6.666666666666667,7.0,6.5,6.5,6.5,5.5,8.0,results/2307.05527/gemini-3.1-pro-preview__judge-gpt-5.4-xhigh/chatgpt_meow_outline_blind.eval.json
2307.05527,gpt-5.4-mini-xhigh-4papers,success,legacy_or_unspecified,gpt-5-nano,,0.2903225806451613,8.083333333333334,7.0,7.5,9.0,8.0,8.0,9.0,results/2307.05527/gpt-5.4-mini-xhigh-4papers/chatgpt_meow_outline_blind.eval.json
2307.05527,gpt-5.4-xhigh-3papers,success,legacy_or_unspecified,gpt-5-nano,,0.2857142857142857,8.25,7.5,7.5,9.0,8.0,8.5,9.0,results/2307.05527/gpt-5.4-xhigh-3papers/chatgpt_meow_outline_blind.eval.json
2307.05527,gpt-5.4-xhigh__judge-gemini-3.1-pro-preview,success,gemini,gemini-3.1-pro-preview,,0.2857142857142857,8.75,9.0,8.5,9.0,7.5,9.0,9.5,results/2307.05527/gpt-5.4-xhigh__judge-gemini-3.1-pro-preview/chatgpt_meow_outline_blind.eval.json
2409.13738,ablation_no_meta_abstract,success,gemini,gemini-3.1-pro-preview,,0.42857142857142855,7.75,9.0,4.0,9.0,6.0,9.0,9.5,results/2409.13738/ablation_no_meta_abstract/chatgpt_meow_outline_blind.eval.json
2409.13738,ablation_with_meta_abstract,success,gemini,gemini-3.1-pro-preview,,0.2903225806451613,7.25,9.0,2.0,9.0,5.0,9.5,9.0,results/2409.13738/ablation_with_meta_abstract/chatgpt_meow_outline_blind.eval.json
2409.13738,2409.13738,dry_run_structural_only,legacy_or_unspecified,gpt-5-nano,,0.44680851063829785,,,,,,,,results/2409.13738/chatgpt_meow_outline_blind.eval.json
2409.13738,codex_contract_smoke,success,legacy_or_unspecified,gpt-5-nano,,0.44680851063829785,7.666666666666667,8.5,8.0,6.0,7.5,7.0,9.0,results/2409.13738/codex_contract_smoke/chatgpt_meow_outline_blind.eval.json
2409.13738,codex_eval,success,legacy_or_unspecified,gpt-5-nano,,0.44680851063829785,8.416666666666666,9.0,8.5,7.5,8.5,8.0,9.0,results/2409.13738/codex_eval/chatgpt_meow_outline_blind.eval.json
2409.13738,codex_eval_smoke,dry_run_structural_only,legacy_or_unspecified,gpt-5-nano,,0.44680851063829785,,,,,,,,results/2409.13738/codex_eval_smoke/chatgpt_meow_outline_blind.eval.json
2409.13738,gemini-2.5-flash-smoke,success,legacy_or_unspecified,gpt-5-nano,,0.42857142857142855,6.5,7.5,7.0,0.0,8.0,7.5,9.0,results/2409.13738/gemini-2.5-flash-smoke/chatgpt_meow_outline_blind.eval.json
2409.13738,gemini-3.1-pro-preview-3papers,success,legacy_or_unspecified,gpt-5-nano,,0.3333333333333333,7.666666666666667,7.5,7.5,8.0,8.0,7.0,8.0,results/2409.13738/gemini-3.1-pro-preview-3papers/chatgpt_meow_outline_blind.eval.json
2409.13738,gemini-3.1-pro-preview-smoke,success,legacy_or_unspecified,gpt-5-nano,,0.25,7.5,8.0,7.5,8.0,6.5,6.0,9.0,results/2409.13738/gemini-3.1-pro-preview-smoke/chatgpt_meow_outline_blind.eval.json
2409.13738,gemini-3.1-pro-preview__judge-gpt-5.4-xhigh,success,codex,gpt-5.4,xhigh,0.3333333333333333,7.0,8.0,5.5,7.0,6.5,6.5,8.5,results/2409.13738/gemini-3.1-pro-preview__judge-gpt-5.4-xhigh/chatgpt_meow_outline_blind.eval.json
2409.13738,gpt-5.3-codex-spark-high,success,legacy_or_unspecified,gpt-5-nano,,0.49019607843137253,7.583333333333333,8.0,7.5,7.0,7.5,8.5,7.0,results/2409.13738/gpt-5.3-codex-spark-high/chatgpt_meow_outline_blind.eval.json
2409.13738,gpt-5.3-codex-spark-low,success,legacy_or_unspecified,gpt-5-nano,,0.5416666666666666,8.0,9.0,7.5,9.0,8.5,8.0,6.0,results/2409.13738/gpt-5.3-codex-spark-low/chatgpt_meow_outline_blind.eval.json
2409.13738,gpt-5.3-codex-spark-medium,success,legacy_or_unspecified,gpt-5-nano,,0.4222222222222222,7.0,8.0,7.5,6.0,7.5,7.5,5.5,results/2409.13738/gpt-5.3-codex-spark-medium/chatgpt_meow_outline_blind.eval.json
2409.13738,gpt-5.3-codex-spark-xhigh,success,legacy_or_unspecified,gpt-5-nano,,0.5357142857142857,7.916666666666667,8.5,7.5,8.0,8.0,7.5,8.0,results/2409.13738/gpt-5.3-codex-spark-xhigh/chatgpt_meow_outline_blind.eval.json
2409.13738,gpt-5.4-high,success,legacy_or_unspecified,gpt-5-nano,,0.3333333333333333,7.5,8.0,7.5,8.0,7.5,7.0,7.0,results/2409.13738/gpt-5.4-high/chatgpt_meow_outline_blind.eval.json
2409.13738,gpt-5.4-low,success,legacy_or_unspecified,gpt-5-nano,,0.35135135135135137,7.0,7.5,7.0,6.5,7.5,6.0,7.5,results/2409.13738/gpt-5.4-low/chatgpt_meow_outline_blind.eval.json
2409.13738,gpt-5.4-mini-high,success,legacy_or_unspecified,gpt-5-nano,,0.35714285714285715,8.0,9.0,7.5,8.5,7.0,7.0,9.0,results/2409.13738/gpt-5.4-mini-high/chatgpt_meow_outline_blind.eval.json
2409.13738,gpt-5.4-mini-low,success,legacy_or_unspecified,gpt-5-nano,,0.5357142857142857,6.75,8.0,5.0,5.0,7.0,6.5,9.0,results/2409.13738/gpt-5.4-mini-low/chatgpt_meow_outline_blind.eval.json
2409.13738,gpt-5.4-mini-medium,success,legacy_or_unspecified,gpt-5-nano,,0.35714285714285715,7.666666666666667,7.5,7.5,9.0,7.5,6.5,8.0,results/2409.13738/gpt-5.4-mini-medium/chatgpt_meow_outline_blind.eval.json
2409.13738,gpt-5.4-mini-xhigh,success,legacy_or_unspecified,gpt-5-nano,,0.35714285714285715,7.333333333333333,8.0,8.0,8.0,6.5,4.5,9.0,results/2409.13738/gpt-5.4-mini-xhigh/chatgpt_meow_outline_blind.eval.json
2409.13738,gpt-5.4-mini-xhigh-4papers,success,legacy_or_unspecified,gpt-5-nano,,0.2413793103448276,7.416666666666667,7.5,6.5,8.0,7.5,6.0,9.0,results/2409.13738/gpt-5.4-mini-xhigh-4papers/chatgpt_meow_outline_blind.eval.json
2409.13738,gpt-5.4-xhigh,success,legacy_or_unspecified,gpt-5-nano,,0.36585365853658536,6.916666666666667,8.5,6.0,6.0,6.5,7.0,7.5,results/2409.13738/gpt-5.4-xhigh/chatgpt_meow_outline_blind.eval.json
2409.13738,gpt-5.4-xhigh-3papers,success,legacy_or_unspecified,gpt-5-nano,,0.2777777777777778,7.333333333333333,7.5,6.5,8.0,7.0,7.0,8.0,results/2409.13738/gpt-5.4-xhigh-3papers/chatgpt_meow_outline_blind.eval.json
2409.13738,gpt-5.4-xhigh__judge-gemini-3.1-pro-preview,success,gemini,gemini-3.1-pro-preview,,0.2777777777777778,6.583333333333333,9.0,2.5,8.5,5.0,9.0,5.5,results/2409.13738/gpt-5.4-xhigh__judge-gemini-3.1-pro-preview/chatgpt_meow_outline_blind.eval.json
2511.13936,ablation_no_meta_abstract,success,gemini,gemini-3.1-pro-preview,,0.41304347826086957,8.25,9.0,6.5,9.0,7.0,9.5,8.5,results/2511.13936/ablation_no_meta_abstract/chatgpt_meow_outline_blind.eval.json
2511.13936,ablation_with_meta_abstract,success,gemini,gemini-3.1-pro-preview,,0.325,6.333333333333333,9.0,2.5,4.5,5.0,9.0,8.0,results/2511.13936/ablation_with_meta_abstract/chatgpt_meow_outline_blind.eval.json
2511.13936,gemini-3.1-pro-preview-3papers,success,codex,gpt-5.4,xhigh,0.4594594594594595,5.833333333333333,6.5,4.5,5.5,5.5,4.5,8.5,results/2511.13936/gemini-3.1-pro-preview-3papers/chatgpt_meow_outline_blind.eval.json
2511.13936,gemini-3.1-pro-preview__judge-gpt-5.4-xhigh,success,codex,gpt-5.4,xhigh,0.4594594594594595,6.0,6.0,6.0,5.5,5.5,4.5,8.5,results/2511.13936/gemini-3.1-pro-preview__judge-gpt-5.4-xhigh/chatgpt_meow_outline_blind.eval.json
2511.13936,gpt-5.4-mini-xhigh-4papers,success,legacy_or_unspecified,gpt-5-nano,,0.3783783783783784,7.75,7.5,6.5,9.0,8.0,6.5,9.0,results/2511.13936/gpt-5.4-mini-xhigh-4papers/chatgpt_meow_outline_blind.eval.json
2511.13936,gpt-5.4-xhigh-3papers,success,legacy_or_unspecified,gpt-5-nano,,0.2972972972972973,6.916666666666667,7.0,7.0,8.0,6.5,7.5,5.5,results/2511.13936/gpt-5.4-xhigh-3papers/chatgpt_meow_outline_blind.eval.json
2511.13936,gpt-5.4-xhigh__judge-gemini-3.1-pro-preview,success,gemini,gemini-3.1-pro-preview,,0.2972972972972973,8.333333333333334,9.0,8.0,9.5,8.5,9.5,5.5,results/2511.13936/gpt-5.4-xhigh__judge-gemini-3.1-pro-preview/chatgpt_meow_outline_blind.eval.json
2601.19926,ablation_no_meta_abstract,success,gemini,gemini-3.1-pro-preview,,0.8431372549019608,6.25,8.5,3.0,5.0,7.0,9.0,5.0,results/2601.19926/ablation_no_meta_abstract/chatgpt_meow_outline_blind.eval.json
2601.19926,ablation_no_meta_abstract__judge-gemini-3.1-pro-preview,success,gemini,gemini-3.1-pro-preview,,0.8431372549019608,5.75,8.5,2.5,5.0,5.0,8.5,5.0,results/2601.19926/ablation_no_meta_abstract__judge-gemini-3.1-pro-preview/chatgpt_meow_outline_blind.eval.json
2601.19926,ablation_with_meta_abstract,success,gemini,gemini-3.1-pro-preview,,0.7647058823529411,8.666666666666666,9.5,7.0,9.5,8.0,9.5,8.5,results/2601.19926/ablation_with_meta_abstract/chatgpt_meow_outline_blind.eval.json
2601.19926,ablation_with_meta_abstract__judge-gemini-3.1-pro-preview,success,gemini,gemini-3.1-pro-preview,,0.7647058823529411,8.0,9.0,5.0,9.0,7.0,9.5,8.5,results/2601.19926/ablation_with_meta_abstract__judge-gemini-3.1-pro-preview/chatgpt_meow_outline_blind.eval.json
2601.19926,gemini-3.1-pro-preview-2601,success,codex,gpt-5.4,xhigh,0.6923076923076923,7.833333333333333,8.5,6.5,8.5,7.0,7.5,9.0,results/2601.19926/gemini-3.1-pro-preview-2601/chatgpt_meow_outline_blind.eval.json
2601.19926,gemini-3.1-pro-preview__judge-gpt-5.4-xhigh,success,codex,gpt-5.4,xhigh,0.6923076923076923,7.333333333333333,8.0,7.0,6.5,7.5,6.5,8.5,results/2601.19926/gemini-3.1-pro-preview__judge-gpt-5.4-xhigh/chatgpt_meow_outline_blind.eval.json
2601.19926,gpt-5.4-mini-xhigh-4papers,success,legacy_or_unspecified,gpt-5-nano,,0.8,8.5,9.0,8.0,8.5,8.5,8.0,9.0,results/2601.19926/gpt-5.4-mini-xhigh-4papers/chatgpt_meow_outline_blind.eval.json
2601.19926,gpt-5.4-xhigh-2601,success,gemini,gemini-3.1-pro-preview,,0.8048780487804879,7.916666666666667,8.5,7.5,9.0,7.0,9.5,6.0,results/2601.19926/gpt-5.4-xhigh-2601/chatgpt_meow_outline_blind.eval.json
2601.19926,gpt-5.4-xhigh__judge-gemini-3.1-pro-preview,success,gemini,gemini-3.1-pro-preview,,0.8048780487804879,6.666666666666667,9.0,2.5,8.5,5.0,9.5,5.5,results/2601.19926/gpt-5.4-xhigh__judge-gemini-3.1-pro-preview/chatgpt_meow_outline_blind.eval.json
